permit_identifier,program_report_form_set_id,program_report_form_id,sewer_overflow_bypass_event_key,sewer_overflow_bypass_event_id_ext,sewer_overflow_bypass_description_text,sewer_overflow_bypass_reporting_requirement_code,sewer_overflow_reporting_requirement_desc,wet_weather_occurance_indicator,sewer_overflow_structure_type_code,sewer_overflow_structure_type_desc,sewer_overflow_structure_type_code_other_text,collection_system_identifier,permitted_feature_identifier,latitude,longitude,sewer_overflow_bypass_duration_hours,sewer_overflow_bypass_start_datetime,sewer_overflow_bypass_end_datetime,discharge_quantification_method_code,discharge_quantification_method_desc,sewer_overflow_bypass_discharge_volume_gallons,sewer_overflow_bypass_discharge_rate_gph,anticipated_bypass_text,anticipated_bypass_expect_limit_violation,anticipated_bypass_expect_limit_violation_text,payload_id,transaction_type,current_report_form_flag,replaced_date,replacing_payload_id,permit_identifier_coll,collection_system_identifier_coll,collection_system_name,collection_system_owner_type_code,collection_system_owner_type_desc,collection_system_population,percent_collection_system_css,payload_id_coll,received_date,transaction_type_coll,current_report_flag,replaced_date_coll,replacing_payload_id_coll,replacing_transaction_type
AK0022551,1,1,2723,1,RAGS,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.170863,-149.921112,0.7,2023-06-05 12:10:00,2023-06-05 12:52:00,BPJ,Best Professional Judgement,210.0,,,,,278576925,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,1,1,2723,1,RAGS,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.170863,-149.921112,0.7,2023-06-05 12:10:00,2023-06-05 12:52:00,BPJ,Best Professional Judgement,210.0,,,,,278576925,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,10,1,2826,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.14851,-149.953493,1.0,2023-11-17 16:45:00,2023-11-17 17:45:00,BPJ,Best Professional Judgement,100.0,,,,,278577001,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,10,1,2826,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.14851,-149.953493,1.0,2023-11-17 16:45:00,2023-11-17 17:45:00,BPJ,Best Professional Judgement,100.0,,,,,278577001,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,11,1,2832,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.130141,-149.953069,1.42,2023-12-02 10:42:00,2023-12-02 12:07:00,BPJ,Best Professional Judgement,3400.0,,,,,278577008,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,11,1,2832,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.130141,-149.953069,1.42,2023-12-02 10:42:00,2023-12-02 12:07:00,BPJ,Best Professional Judgement,3400.0,,,,,278577008,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,12,1,2836,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.161198,-149.941767,1.87,2023-12-10 10:42:00,2023-12-10 12:34:00,BPJ,Best Professional Judgement,112.0,,,,,278577012,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,12,1,2836,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.161198,-149.941767,1.87,2023-12-10 10:42:00,2023-12-10 12:34:00,BPJ,Best Professional Judgement,112.0,,,,,278577012,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,13,1,2850,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.174628,-149.84219,0.25,2023-12-29 15:00:00,2023-12-29 15:15:00,BPJ,Best Professional Judgement,20.0,,,,,278577023,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,13,1,2850,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.174628,-149.84219,0.25,2023-12-29 15:00:00,2023-12-29 15:15:00,BPJ,Best Professional Judgement,20.0,,,,,278577023,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
